"X","promenna","p.value","AIC","AICc","BIC","AR","I","MA","lag","sAIC","sAICc","sBIC"
"X2023...2...1.13","inflace",0.043,426.009675398,426.516462728,450.045729423,2,0,2,"delay","428.370000950251","428.748379328629","448.972332971576"
"X2023...2...1.14","inflace",0.0538,427.425686493,428.077270204,454.930320965,2,0,3,"regresor","429.40687517226","429.911379676765","453.473430334722"
"X2023...2...1.15","inflace",0.0544,426.618641425,427.27318688,454.088417454,2,0,3,"delay","428.581588444893","429.088375775209","452.617642469772"
"X2023...2...1.16","inflace",0.0629,427.9903729,428.259431196,445.158982918,2,1,1,"regresor","429.692341124613","429.870912553184","443.427229138829"
"X2023...2...1.17","inflace",0.0629,427.130270235,427.400540505,444.27699838,2,1,1,"delay","428.827707683923","429.007079881232","442.545090199741"
"X2023...2...1.18","inflace",0.0553,424.035963448,424.414341827,444.63829547,2,1,2,"regresor","425.969052651663","426.238110947627","443.137662669434"
"X2023...2...1.19","inflace",0.0571,423.236700673,423.616791171,443.812774447,2,1,2,"delay","425.11463775788","425.38490802815","442.261365902652"
"X2023...2...1.20","inflace",0.0564,426.035283381,426.542070712,450.071337406,2,1,3,"regresor","427.932279692483","428.310658070861","448.534611713808"
"X2023...2...1.21","inflace",0.0585,425.236220878,425.745311787,449.24164028,2,1,3,"delay","427.076081337415","427.456171835153","447.652155111142"
"X2023...2...1.22","inflace",0.057,427.410453366,428.062037076,454.915087837,3,0,2,"regresor","429.288236652455","429.792741156959","453.354791814917"
"X2023...2...1.23","inflace",0.0577,426.604297102,427.258842557,454.074073131,3,0,2,"delay","428.463108505428","428.969895835745","452.499162530308"
"X2023...2...1.24","inflace",0.0573,429.407348026,430.225529844,460.350061806,3,0,3,"regresor","431.279351896311","431.930935606718","458.783986367696"
"X2023...2...1.25","inflace",0.0578,428.600902375,429.422820183,459.504400407,3,0,3,"delay","430.45354293269","431.108088387236","457.923318961124"
"X2023...2...1.26","inflace",0.0641,426.901931558,427.280309936,447.504263579,3,1,1,"regresor","428.574934439762","428.843992735726","445.743544457533"
"X2023...2...1.27","inflace",0.0639,426.060090276,426.440180773,446.636164049,3,1,1,"delay","427.73378086598","428.00405113625","444.880509010752"
"X2023...2...1.28","inflace",0.0574,426.034755689,426.541543019,450.070809714,3,1,2,"regresor","427.90684986811","428.285228246488","448.509181889435"
"X2023...2...1.29","inflace",0.0592,425.23559063,425.744681539,449.241010032,3,1,2,"delay","427.049302723145","427.429393220883","447.625376496872"
"X2023...2...1.30","inflace",0.0519,427.806404967,428.460950421,455.276180995,3,1,3,"regresor","429.860212632337","430.366999962654","453.896266657216"
"X2023...2...1.31","inflace",0.0534,427.007835336,427.665369583,454.442600368,3,1,3,"delay","429.00297709563","429.512068004721","453.008396498311"
